"Year","Area_type","Area_code","Area_description","Ethnic_group_total_responses_code","Ethnic_group_total_responses_description","Census_usually_resident_population_count","Ethnic_group_total_responses_percent"
2018,"Regional Council","01","Northland Region","1","European","130971"," 73.1"
2018,"Regional Council","01","Northland Region","2","Maori","64458"," 36.0"
2018,"Regional Council","01","Northland Region","3","Pacific peoples","7542","  4.2"
2018,"Regional Council","01","Northland Region","4","Asian","7041","  3.9"
2018,"Regional Council","01","Northland Region","5","Middle Eastern/Latin American/African","900","  0.5"
2018,"Regional Council","01","Northland Region","6","Other ethnicity","2124","  1.2"
2018,"Regional Council","01","Northland Region","9","Not elsewhere included","0",".."
2018,"Regional Council","01","Northland Region","Total","Total","179076",".."
2018,"Regional Council","01","Northland Region","Total stated","Total stated","179076","100.0"
2018,"Regional Council","02","Auckland Region","1","European","841386"," 53.5"
2018,"Regional Council","02","Auckland Region","2","Maori","181194"," 11.5"
2018,"Regional Council","02","Auckland Region","3","Pacific peoples","243966"," 15.5"
2018,"Regional Council","02","Auckland Region","4","Asian","442674"," 28.2"
2018,"Regional Council","02","Auckland Region","5","Middle Eastern/Latin American/African","35838","  2.3"
2018,"Regional Council","02","Auckland Region","6","Other ethnicity","16746","  1.1"
2018,"Regional Council","02","Auckland Region","9","Not elsewhere included","0",".."
2018,"Regional Council","02","Auckland Region","Total","Total","1571718",".."
2018,"Regional Council","02","Auckland Region","Total stated","Total stated","1571718","100.0"
2018,"Regional Council","03","Waikato Region","1","European","340800"," 74.4"
2018,"Regional Council","03","Waikato Region","2","Maori","109488"," 23.9"
2018,"Regional Council","03","Waikato Region","3","Pacific peoples","20742","  4.5"
2018,"Regional Council","03","Waikato Region","4","Asian","43755","  9.5"
2018,"Regional Council","03","Waikato Region","5","Middle Eastern/Latin American/African","5127","  1.1"
2018,"Regional Council","03","Waikato Region","6","Other ethnicity","5619","  1.2"
2018,"Regional Council","03","Waikato Region","9","Not elsewhere included","0",".."
2018,"Regional Council","03","Waikato Region","Total","Total","458202",".."
2018,"Regional Council","03","Waikato Region","Total stated","Total stated","458202","100.0"
2018,"Regional Council","04","Bay of Plenty Region","1","European","227100"," 73.6"
2018,"Regional Council","04","Bay of Plenty Region","2","Maori","89778"," 29.1"
2018,"Regional Council","04","Bay of Plenty Region","3","Pacific peoples","10926","  3.5"
2018,"Regional Council","04","Bay of Plenty Region","4","Asian","22122","  7.2"
2018,"Regional Council","04","Bay of Plenty Region","5","Middle Eastern/Latin American/African","2181","  0.7"
2018,"Regional Council","04","Bay of Plenty Region","6","Other ethnicity","3282","  1.1"
2018,"Regional Council","04","Bay of Plenty Region","9","Not elsewhere included","0",".."
2018,"Regional Council","04","Bay of Plenty Region","Total","Total","308499",".."
2018,"Regional Council","04","Bay of Plenty Region","Total stated","Total stated","308499","100.0"
2018,"Regional Council","05","Gisborne Region","1","European","27612"," 58.1"
2018,"Regional Council","05","Gisborne Region","2","Maori","25134"," 52.9"
2018,"Regional Council","05","Gisborne Region","3","Pacific peoples","2130","  4.5"
2018,"Regional Council","05","Gisborne Region","4","Asian","1341","  2.8"
2018,"Regional Council","05","Gisborne Region","5","Middle Eastern/Latin American/African","213","  0.4"
2018,"Regional Council","05","Gisborne Region","6","Other ethnicity","438","  0.9"
2018,"Regional Council","05","Gisborne Region","9","Not elsewhere included","0",".."
2018,"Regional Council","05","Gisborne Region","Total","Total","47517",".."
2018,"Regional Council","05","Gisborne Region","Total stated","Total stated","47517","100.0"
2018,"Regional Council","06","Hawke's Bay Region","1","European","124797"," 75.0"
2018,"Regional Council","06","Hawke's Bay Region","2","Maori","44931"," 27.0"
2018,"Regional Council","06","Hawke's Bay Region","3","Pacific peoples","9351","  5.6"
2018,"Regional Council","06","Hawke's Bay Region","4","Asian","8253","  5.0"
2018,"Regional Council","06","Hawke's Bay Region","5","Middle Eastern/Latin American/African","927","  0.6"
2018,"Regional Council","06","Hawke's Bay Region","6","Other ethnicity","1839","  1.1"
2018,"Regional Council","06","Hawke's Bay Region","9","Not elsewhere included","0",".."
2018,"Regional Council","06","Hawke's Bay Region","Total","Total","166368",".."
2018,"Regional Council","06","Hawke's Bay Region","Total stated","Total stated","166368","100.0"
2018,"Regional Council","07","Taranaki Region","1","European","99660"," 84.8"
2018,"Regional Council","07","Taranaki Region","2","Maori","23298"," 19.8"
2018,"Regional Council","07","Taranaki Region","3","Pacific peoples","2520","  2.1"
2018,"Regional Council","07","Taranaki Region","4","Asian","5331","  4.5"
2018,"Regional Council","07","Taranaki Region","5","Middle Eastern/Latin American/African","699","  0.6"
2018,"Regional Council","07","Taranaki Region","6","Other ethnicity","1677","  1.4"
2018,"Regional Council","07","Taranaki Region","9","Not elsewhere included","0",".."
2018,"Regional Council","07","Taranaki Region","Total","Total","117561",".."
2018,"Regional Council","07","Taranaki Region","Total stated","Total stated","117561","100.0"
2018,"Regional Council","08","Manawatu-Wanganui Region","1","European","189597"," 79.4"
2018,"Regional Council","08","Manawatu-Wanganui Region","2","Maori","54570"," 22.9"
2018,"Regional Council","08","Manawatu-Wanganui Region","3","Pacific peoples","10140","  4.2"
2018,"Regional Council","08","Manawatu-Wanganui Region","4","Asian","15375","  6.4"
2018,"Regional Council","08","Manawatu-Wanganui Region","5","Middle Eastern/Latin American/African","1836","  0.8"
2018,"Regional Council","08","Manawatu-Wanganui Region","6","Other ethnicity","3369","  1.4"
2018,"Regional Council","08","Manawatu-Wanganui Region","9","Not elsewhere included","0",".."
2018,"Regional Council","08","Manawatu-Wanganui Region","Total","Total","238797",".."
2018,"Regional Council","08","Manawatu-Wanganui Region","Total stated","Total stated","238797","100.0"
2018,"Regional Council","09","Wellington Region","1","European","378255"," 74.6"
2018,"Regional Council","09","Wellington Region","2","Maori","72252"," 14.3"
2018,"Regional Council","09","Wellington Region","3","Pacific peoples","42774","  8.4"
2018,"Regional Council","09","Wellington Region","4","Asian","65601"," 12.9"
2018,"Regional Council","09","Wellington Region","5","Middle Eastern/Latin American/African","9492","  1.9"
2018,"Regional Council","09","Wellington Region","6","Other ethnicity","7263","  1.4"
2018,"Regional Council","09","Wellington Region","9","Not elsewhere included","0",".."
2018,"Regional Council","09","Wellington Region","Total","Total","506814",".."
2018,"Regional Council","09","Wellington Region","Total stated","Total stated","506814","100.0"
2018,"Regional Council","12","West Coast Region","1","European","28575"," 90.5"
