Premises Name,Certification Service Type,Service Types,Total Beds,Premises Website,Premises Address Other, Premises Address, Premises Address Suburb/Road, Premises Address Town/City, Premises Address Post Code, DHB Name,Certificate Name,Certification Period (Months),Certificate/License End Date,Current Auditor,Legal Name,Legal Entity Address Other, Legal Entity Address, Legal Entity Address Suburb/Road, Legal Entity Address Town/City, Legal Entity Address Post Code, Legal Entity Postal Address, Legal Entity Postal Address Suburb/Road, Legal Entity Postal Address Town/City, Legal Entity Postal Address Post Code, Legal Entity Website,
Bowen Hospital,NGO Hospital,"Surgical, Medical",44,,,98 Churchill Drive,Crofton Downs,Wellington,6035,Capital and Coast District Health Board,Acurity Health Group Limited - Bowen Hospital,No change,24-5-2023,The DAA Group Limited,Acurity Health Group Limited,,30 Florence Street,,Wellington,6021,Private Bag 7909,,Wellington,6242,,
Royston Hospital,NGO Hospital,"Surgical, Medical",33,,,500 Southland Road,,Hastings,4122,Hawke's Bay District Health Board,Acurity Health Group Limited - Royston Hospital,36,10-5-2023,The DAA Group Limited,Acurity Health Group Limited,,30 Florence Street,,Wellington,6021,Private Bag 7909,,Wellington,6242,,
Wakefield Hospital,NGO Hospital,"Surgical, Medical",71,,,30 Florence Street,Newtown,Wellington,6021,Capital and Coast District Health Board,Acurity Health Group Limited - Wakefield Hospital,No change,27-5-2022,The DAA Group Limited,Acurity Health Group Limited,,30 Florence Street,,Wellington,6021,Private Bag 7909,,Wellington,6242,,
Anglesea Hospital,NGO Hospital,Surgical,17,http://www.angleseahospital.co.nz/,Knox Clinic,Knox Street,Hamilton Central,Hamilton,3204,Waikato District Health Board,Anglesea Hospital Limited - Anglesea Hospital,No change,3-6-2022,Health and Disability Auditing New Zealand Limited,Anglesea Hospital Limited,Knox Clinic,Knox Street,,Hamilton,3204,PO Box 228,,Hamilton,3240,,
Arohanui Hospice Service Trust,NGO Hospital,Medical,11,http://www.arohanuihospice.org.nz/,Arohanui Hospice,1 Heretaunga Street,,Palmerston North,4414,MidCentral District Health Board,Arohanui Hospice Service Trust - Arohanui Hospice Trust,No change,13-7-2022,The DAA Group Limited,Arohanui Hospice Service Trust,,1 Heretaunga Street,,Palmerston North,4414,PO Box 5349,,Palmerston North,4441,,
The Ashburn Clinic,NGO Hospital,Mental health,46,http://www.ashburn.co.nz,,496 Taieri Road,Halfway Bush,Dunedin,9010,Southern District Health Board,Ashburn Hall Charitable Trust - The Ashburn Clinic,No change,20-5-2023,The DAA Group Limited,Ashburn Hall Charitable Trust,,496 Taieri Road,,Dunedin,9010,Private Bag 1916,,Dunedin,9054,,
Belverdale Hospital,NGO Hospital,Surgical,15,,,5 Campbell Street,,Wanganui,4500,Whanganui District Health Board,Belverdale Hospital Limited - Belverdale Hospital,No change,23-6-2022,Health and Disability Auditing New Zealand Limited,Belverdale Hospital Limited,,5 Campbell Street,,Wanganui,4500,,,,,,
Bidwill Trust Hospital,NGO Hospital,Surgical,14,,,53 Elizabeth Street,Seaview,Timaru,7910,South Canterbury District Health Board,Bidwill Trust Hospital Foundation - Bidwill Trust Hospital,48,16-1-2024,Health and Disability Auditing New Zealand Limited,Bidwill Trust Hospital Foundation,,53 Elizabeth Street,,Timaru,7910,,,,,,
Birthcare Auckland,NGO Hospital,Maternity,45,,,20 Titoki Street,Parnell,Auckland,1052,Auckland District Health Board,Birthcare Auckland Limited - Birthcare Auckland and Huntly,48,27-3-2024,Health Audit (NZ) Limited,Birthcare Auckland Limited,,20 Titoki Street,,Auckland,1052,PO Box 99328,,Auckland,1149,,
Birthcare Huntly,NGO Hospital,Maternity,6,,,5 Onslow Street,,Huntly,3700,Waikato District Health Board,Birthcare Auckland Limited - Birthcare Auckland and Huntly,48,27-3-2024,Health Audit (NZ) Limited,Birthcare Auckland Limited,,20 Titoki Street,,Auckland,1052,PO Box 99328,,Auckland,1149,,
