Statistical area 2 code (2018 areas),Statistical area 2 description,Territorial authority code (2018 areas) ,Territorial authority description,Local board code (2018 areas),Local board description,Ward code (2018 areas),Ward description,District health board code (2015 areas),District health board description,Regional council code (2018 areas) ,Regional council description
100100,North Cape,001,Far North District,..,..,00101,Te Hiku Ward,01,Northland,01,Northland Region
100300,Inlets Far North District,001,Far North District,..,..,00101,Te Hiku Ward,01,Northland,01,Northland Region
100300,Inlets Far North District,001,Far North District,..,..,00103,Kaikohe-Hokianga Ward,01,Northland,01,Northland Region
100300,Inlets Far North District,001,Far North District,..,..,00102,Bay of Islands-Whangaroa Ward,01,Northland,01,Northland Region
100200,Rangaunu Harbour,001,Far North District,..,..,00101,Te Hiku Ward,01,Northland,01,Northland Region
100400,Karikari Peninsula,001,Far North District,..,..,00101,Te Hiku Ward,01,Northland,01,Northland Region
101400,Taemaro-Oruaiti,001,Far North District,..,..,00101,Te Hiku Ward,01,Northland,01,Northland Region
101000,Oruru-Parapara,001,Far North District,..,..,00101,Te Hiku Ward,01,Northland,01,Northland Region
101100,Taumarumaru,001,Far North District,..,..,00101,Te Hiku Ward,01,Northland,01,Northland Region
101500,Whakapaku,001,Far North District,..,..,00102,Bay of Islands-Whangaroa Ward,01,Northland,01,Northland Region
101800,Whakarara,001,Far North District,..,..,00102,Bay of Islands-Whangaroa Ward,01,Northland,01,Northland Region
100500,Tangonge,001,Far North District,..,..,00101,Te Hiku Ward,01,Northland,01,Northland Region
100700,Kaitaia East,001,Far North District,..,..,00101,Te Hiku Ward,01,Northland,01,Northland Region
100800,Kaitaia West,001,Far North District,..,..,00101,Te Hiku Ward,01,Northland,01,Northland Region
100900,Rangitihi,001,Far North District,..,..,00101,Te Hiku Ward,01,Northland,01,Northland Region
101300,Peria,001,Far North District,..,..,00101,Te Hiku Ward,01,Northland,01,Northland Region
101900,Kaeo,001,Far North District,..,..,00102,Bay of Islands-Whangaroa Ward,01,Northland,01,Northland Region
102400,Rangitane-Purerua,001,Far North District,..,..,00102,Bay of Islands-Whangaroa Ward,01,Northland,01,Northland Region
100600,Ahipara,001,Far North District,..,..,00101,Te Hiku Ward,01,Northland,01,Northland Region
101200,Herekino-Takahue,001,Far North District,..,..,00101,Te Hiku Ward,01,Northland,01,Northland Region
102000,Omahuta Forest-Horeke,001,Far North District,..,..,00103,Kaikohe-Hokianga Ward,01,Northland,01,Northland Region
102200,Lake Manuwai-Kapiro,001,Far North District,..,..,00102,Bay of Islands-Whangaroa Ward,01,Northland,01,Northland Region
102500,Waipapa,001,Far North District,..,..,00102,Bay of Islands-Whangaroa Ward,01,Northland,01,Northland Region
104400,Russell Forest-Rawhiti,001,Far North District,..,..,00102,Bay of Islands-Whangaroa Ward,01,Northland,01,Northland Region
101600,Hokianga North,001,Far North District,..,..,00103,Kaikohe-Hokianga Ward,01,Northland,01,Northland Region
101700,Kohukohu-Broadwood,001,Far North District,..,..,00103,Kaikohe-Hokianga Ward,01,Northland,01,Northland Region
102300,Okaihau,001,Far North District,..,..,00103,Kaikohe-Hokianga Ward,01,Northland,01,Northland Region
102300,Okaihau,001,Far North District,..,..,00102,Bay of Islands-Whangaroa Ward,01,Northland,01,Northland Region
103200,Ohaeawai-Waimate North,001,Far North District,..,..,00103,Kaikohe-Hokianga Ward,01,Northland,01,Northland Region
102600,Puketotara,001,Far North District,..,..,00102,Bay of Islands-Whangaroa Ward,01,Northland,01,Northland Region
103300,Puketona-Waitangi,001,Far North District,..,..,00102,Bay of Islands-Whangaroa Ward,01,Northland,01,Northland Region
103100,Kerikeri South,001,Far North District,..,..,00102,Bay of Islands-Whangaroa Ward,01,Northland,01,Northland Region
