STATE,ST,TIMEZONE,TZ
Northland Region,NZ-NTL,New Zealand Standard Time,NZST
Auckland Region,NZ-AUK,New Zealand Standard Time,NZST
Waikato Region,NZ-WKO,New Zealand Standard Time,NZST
Manawatu-Wanganui Region,NZ-MWT,New Zealand Standard Time,NZST
Bay of Plenty Region,NZ-BOP,New Zealand Standard Time,NZST
Hawke's Bay Region,NZ-HKB,New Zealand Standard Time,NZST
Gisborne Region,NZ-GIS,New Zealand Standard Time,NZST
Taranaki Region,NZ-TKI,New Zealand Standard Time,NZST
Wellington Region,NZ-WGN,New Zealand Standard Time,NZST
Area Outside Region,NZ-OUT,New Zealand Standard Time,NZST
Tasman Region,NZ-TAS,New Zealand Standard Time,NZST
Nelson Region,NZ-NSN,New Zealand Standard Time,NZST
Marlborough Region,NZ-MBH,New Zealand Standard Time,NZST
Canterbury Region,NZ-CAN,New Zealand Standard Time,NZST
West Coast Region,NZ-WTC,New Zealand Standard Time,NZST
Otago Region,NZ-OTA,New Zealand Standard Time,NZST
Southland Region,NZ-STL,New Zealand Standard Time,NZST
