,id,name,address,city,state,zip,county,phone,type,ownership,emergency,quality,LAT,LON
0,0,Auckland City Hospital,2 Park Road,Grafton,Auckland,1023,Auckland District Health Board,,Public Hospital,,,,-41.25916475,174.7670579
1,1,Auckland DHB X 3 Units - Mental Health,2 Park Road,Grafton,Auckland,1023,Auckland District Health Board,,Public Hospital,,,,-39.6393198,176.8365016
2,2,Buchanan Rehabilitation Centre,27 Sutherland Road,Point Chevalier,Auckland,1025,Auckland District Health Board,,Public Hospital,,,,-41.3166673,174.7791441
3,3,Greenlane Clinical Centre,214 Green Lane West,Epsom,Auckland,1051,Auckland District Health Board,,Public Hospital,,,,-37.7914612,175.2851755
4,4,Tauranga Hospital,829 Cameron Road,Tauranga South,Tauranga,3112,Bay of Plenty District Health Board,,Public Hospital,,,,-40.337336,175.6163028
5,5,Whakatane Hospital,33 Stewart Street,,Whakatane,3120,Bay of Plenty District Health Board,,Public Hospital,,,,-45.8523532,170.4593955
6,6,Ashburton Hospital,34 Elizabeth Street,Allenton,Ashburton,7700,Canterbury District Health Board,,Public Hospital,,,,-39.9295215,175.0506686
7,7,Burwood Hospital,255 Mairehau Road,Burwood,Christchurch,8083,Canterbury District Health Board,,Public Hospital,,,,-44.3946634,171.2424688
8,8,Chatham Island Health Centre,6 Hospital Road,Chatham Island,Chatham Island,8013,Canterbury District Health Board,,Public Hospital,,,,-36.8622095,174.7796385
9,9,Christchurch Hospital,2 Riccarton Avenue,Christchurch Central,Christchurch,8011,Canterbury District Health Board,,Public Hospital,,,,-37.555713,175.1604751
10,10,Darfield Hospital,31 Mathias Street,,Darfield,7510,Canterbury District Health Board,,Public Hospital,,,,-37.6936595,176.1071535
11,11,Ellesmere Hospital,25 Cunningham Street,,Leeston,7632,Canterbury District Health Board,,Public Hospital,,,,-36.9708868,174.7992164
12,12,Hillmorton Hospital,1 Lincoln Road,Spreydon,Christchurch,8024,Canterbury District Health Board,,Public Hospital,,,,-41.2039644,174.9120569
13,13,Kaikoura Hospital,25 Deal Street,,Kaikoura,7300,Canterbury District Health Board,,Public Hospital,,,,-41.2033481,174.9263451
14,14,Lincoln Maternity Hospital,35 James Street,,Lincoln,7608,Canterbury District Health Board,,Public Hospital,,,,-37.8078978,175.2789925
15,15,Oxford Hospital,37 Park Avenue,,Oxford,7430,Canterbury District Health Board,,Public Hospital,,,,-45.1919951,169.3210276
16,16,Rangiora Hospital,161 Ashley Street,,Rangiora,7400,Canterbury District Health Board,,Public Hospital,,,,-46.1348074,168.3259065
17,17,The Princess Margaret Hospital,97 Cashmere Road,Cashmere,Christchurch,8022,Canterbury District Health Board,,Public Hospital,,,,-45.253165,169.3878979
18,18,Tuarangi Home,270 Cameron Street,,Ashburton,7700,Canterbury District Health Board,,Public Hospital,,,,-46.236754,169.7395687
19,19,Waikari Hospital,16 Littles Drive,,Waikari,7420,Canterbury District Health Board,,Public Hospital,,,,-36.292827,174.524486
