,name,address,city,state,zip,phone,LAT,LON,hasSpecialties,ADDICTION MEDICINE,ADVANCED HEART FAILURE AND TRANSPLANT CARDIOLOGY,ALLERGY/IMMUNOLOGY,ANESTHESIOLOGY,ANESTHESIOLOGY ASSISTANT,AUDIOLOGIST,CARDIAC ELECTROPHYSIOLOGY,CARDIAC SURGERY,CARDIOVASCULAR DISEASE (CARDIOLOGY),CERTIFIED NURSE MIDWIFE,CERTIFIED REGISTERED NURSE ANESTHETIST,CHIROPRACTIC,CLINICAL NURSE SPECIALIST,CLINICAL PSYCHOLOGIST,CLINICAL SOCIAL WORKER,COLORECTAL SURGERY (PROCTOLOGY),CRITICAL CARE (INTENSIVISTS),DENTIST,DERMATOLOGY,DIAGNOSTIC RADIOLOGY,EMERGENCY MEDICINE,ENDOCRINOLOGY,FAMILY PRACTICE,GASTROENTEROLOGY,GENERAL PRACTICE,GENERAL SURGERY,GERIATRIC MEDICINE,GERIATRIC PSYCHIATRY,GYNECOLOGICAL ONCOLOGY,HAND SURGERY,HEMATOLOGY,HEMATOLOGY/ONCOLOGY,HEMATOPOIETIC CELL TRANSPLANTATION AND CELLULAR TH,HOSPICE/PALLIATIVE CARE,HOSPITALIST,INFECTIOUS DISEASE,INTERNAL MEDICINE,INTERVENTIONAL CARDIOLOGY,INTERVENTIONAL PAIN MANAGEMENT,INTERVENTIONAL RADIOLOGY,MAXILLOFACIAL SURGERY,MEDICAL ONCOLOGY,NEPHROLOGY,NEUROLOGY,NEUROPSYCHIATRY,NEUROSURGERY,NUCLEAR MEDICINE,NURSE PRACTITIONER,OBSTETRICS/GYNECOLOGY,OCCUPATIONAL THERAPY,OPHTHALMOLOGY,OPTOMETRY,ORAL SURGERY,ORTHOPEDIC SURGERY,OSTEOPATHIC MANIPULATIVE MEDICINE,OTOLARYNGOLOGY,PAIN MANAGEMENT,PATHOLOGY,PEDIATRIC MEDICINE,PERIPHERAL VASCULAR DISEASE,PHYSICAL MEDICINE AND REHABILITATION,PHYSICAL THERAPY,PHYSICIAN ASSISTANT,PLASTIC AND RECONSTRUCTIVE SURGERY,PODIATRY,PREVENTATIVE MEDICINE,PSYCHIATRY,PULMONARY DISEASE,RADIATION ONCOLOGY,REGISTERED DIETITIAN OR NUTRITION PROFESSIONAL,"RHEUMATOLOGY,",SLEEP MEDICINE,SPEECH LANGUAGE PATHOLOGIST,SPORTS MEDICINE,SURGICAL ONCOLOGY,THORACIC SURGERY,UNDEFINED PHYSICIAN TYPE (SPECIFY),"UROLOGY,",VASCULAR SURGERY,id
0,Auckland City Hospital,2 Park Road,Grafton,Auckland,1023,,-41.25916475,174.7670579,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30000
1,Auckland DHB X 3 Units - Mental Health,2 Park Road,Grafton,Auckland,1023,,-39.6393198,176.8365016,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30001
2,Buchanan Rehabilitation Centre,27 Sutherland Road,Point Chevalier,Auckland,1025,,-41.3166673,174.7791441,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30002
3,Greenlane Clinical Centre,214 Green Lane West,Epsom,Auckland,1051,,-37.7914612,175.2851755,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30003
4,Tauranga Hospital,829 Cameron Road,Tauranga South,Tauranga,3112,,-40.337336,175.6163028,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30004
5,Whakatane Hospital,33 Stewart Street,,Whakatane,3120,,-45.8523532,170.4593955,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30005
6,Ashburton Hospital,34 Elizabeth Street,Allenton,Ashburton,7700,,-39.9295215,175.0506686,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30006
7,Burwood Hospital,255 Mairehau Road,Burwood,Christchurch,8083,,-44.3946634,171.2424688,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30007
8,Chatham Island Health Centre,6 Hospital Road,Chatham Island,Chatham Island,8013,,-36.8622095,174.7796385,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30008
9,Christchurch Hospital,2 Riccarton Avenue,Christchurch Central,Christchurch,8011,,-37.555713,175.1604751,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30009
10,Darfield Hospital,31 Mathias Street,,Darfield,7510,,-37.6936595,176.1071535,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30010
11,Ellesmere Hospital,25 Cunningham Street,,Leeston,7632,,-36.9708868,174.7992164,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30011
12,Hillmorton Hospital,1 Lincoln Road,Spreydon,Christchurch,8024,,-41.2039644,174.9120569,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30012
13,Kaikoura Hospital,25 Deal Street,,Kaikoura,7300,,-41.2033481,174.9263451,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30013
14,Lincoln Maternity Hospital,35 James Street,,Lincoln,7608,,-37.8078978,175.2789925,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30014
15,Oxford Hospital,37 Park Avenue,,Oxford,7430,,-45.1919951,169.3210276,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30015
16,Rangiora Hospital,161 Ashley Street,,Rangiora,7400,,-46.1348074,168.3259065,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30016
17,The Princess Margaret Hospital,97 Cashmere Road,Cashmere,Christchurch,8022,,-45.253165,169.3878979,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30017
18,Tuarangi Home,270 Cameron Street,,Ashburton,7700,,-46.236754,169.7395687,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30018
19,Waikari Hospital,16 Littles Drive,,Waikari,7420,,-36.292827,174.524486,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30019
20,Kapiti Health Centre,35 Warrimoo Street,,Paraparaumu,5032,,-40.3490226,175.6116388,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30020
21,Kenepuru Hospital,16 Hospital Drive,,Porirua,5022,,-36.8800923,174.7724292,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30021
22,Porirua Hospital Campus (Mental Health Services),16 Hospital Drive,,Porirua,5022,,-43.5262993,172.6378126,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30022
23,Wellington Hospital,39 Riddiford Street,Newtown,Wellington,6021,,-37.2076533,174.9073996,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30023
24,Wellington Hospital (Mental Health Services),39 Riddiford Street,Newton,Wellington,6021,,-46.1031953,168.937388,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30024
25,Auckland Spinal Rehabilitation ,30 Bairds Road,Papatoetoe,Auckland,2025,,-36.675681,174.451024,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30025
26,Botany Downs Hospital,292 Botany Road,Golflands,Auckland,2013,,-36.9213369,174.9129991,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30026
27,Franklin Memorial Hospital,75 Kitchener Road,,Waiuku,2123,,-39.0735868,174.0583019,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30027
28,Manukau Surgery Centre,901 Great South Road,Wiri,Auckland,2104,,-39.907202,175.026629,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30028
29,Middlemore Hospital,100 Hospital Road,Mangere East,Auckland,2025,,-35.7086063,174.3202002,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30029
30,Papakura Obstetric Hospital,2 Clevedon Road,,Papakura,2110,,-41.2785985,173.2904762,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30030
31,Pukekohe Hospital,82 Kitchener Road,,Pukekohe,2120,,-41.5344335,173.9541376,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30031
32,Tamaki Oranga,30 Bairds Road,Papatoetoe,Auckland,2025,,-36.847885,174.7474135,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30032
33,Central Hawkes Bay Health Centre,1 Cook Street,,Waipukurau,4200,,-41.3242785,173.2297138,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30033
34,Hawke's Bay Hospital,210 Omahu Road,Camberley,Hastings,4120,,-37.742462,176.1370835,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30034
35,Wairoa Hospital & Health Centre,36 Kitchener Street,,Wairoa,4108,,-35.6950886,174.3325857,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30035
36,Hutt Valley Hospital,638 High Street,Boulcott,Lower Hutt,5010,,-43.5112131,172.6223412,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30036
37,Rotorua Hospital,Corner of Arawa Street and Pukeroa Hill,,Rotorua,3010,,-36.964617,174.9052788,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30037
38,Taupo Hospital,38 Kotare Street,Hilltop,Taupo,3330,,-45.84787295,170.5318783,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30038
39,Horowhenua Health Centre,62 Liverpool Street,,Levin,5510,,-36.8455215,174.7703451,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30039
40,Palmerston North Hospital,50 Ruahine Street,Roslyn,Palmerston North,4414,,-36.8803768,174.8118722,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30040
41,Te Papaioea Birthing Centre,117 Ruahine Street,Roslyn,Palmerston North,4414,,-37.7883069,175.2903534,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30041
42,Alexandra Hospital,Gilbert Street,Richmond,Nelson,7020,,-36.40084416,174.6541935,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30042
43,Mental Health Admissions Unit,65 Tipahi Street,Nelson South,Nelson,7010,,-40.9470552,175.6725983,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30043
44,Murchison Hospital and Health Centre,58 Hotham Street,,Murchison,7007,,-44.3858177,171.2156999,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30044
45,Nelson Bays Maternity Unit (Te Whare Whanau),15 Courtney Street,,Motueka,7120,,-41.1296558,173.0080598,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30045
46,Nelson Hospital,98 Waimea Road,Nelson South,Nelson,7010,,-36.8812416,174.7721431,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30046
47,Tipahi Street Mental Health,59 Tipahi Street,Nelson South,Nelson,7010,,-36.8791865,174.7711067,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30047
48,Wairau Hospital,30 Hospital Road,Witherlea,Blenheim,7201,,-43.5206741,172.6344055,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30048
49,Bay of Islands Hospital,Hospital Road,,Kawakawa,210,,-37.7889297,175.2905872,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30049
50,Dargaville Hospital,73 Awakino Road,,Dargaville,310,,-46.4071085,168.3535626,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30050
51,Kaitaia Hospital,29 Redan Road,,Kaitaia,410,,-39.0584428,174.0632979,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30051
52,Timatanga Hou - Detox Unit,77 Awakino Road,,Dargaville,310,,-35.9163846,173.8675466,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30052
53,Whangarei Hospital,115 Maunu Road,Woodhill,Whangarei,110,,-38.1585406,176.2384741,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30053
54,Timaru Hospital,14 Queen Street,Parkside,Timaru,7910,,-41.30941555,174.7755261,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30054
55,Dunedin Hospital,275 Great King Street,Dunedin Central,Dunedin,9016,,-43.5156353,172.6243668,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30055
56,Lakes District Hospital,20 Douglas Street,Frankton,Queenstown,9300,,-45.0232754,168.7357644,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30056
57,Southland Hospital,145 Kew Road,Kew,Invercargill,9812,,-39.6812239,175.7957078,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30057
58,Wakari Hospital,369 Taieri Road,Halfway Bush,Dunedin,9010,,-40.2119493,176.0983939,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30058
59,Gisborne Hospital,421 Ormond Road,Lytton West,Gisborne,4010,,-38.00663546,175.3393822,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30059
60,Hawera Hospital,41 Hunter Street,,Hawera,4610,,-41.2178631,174.9045367,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30060
61,Taranaki Base Hospital,118 Tukapa Street,Westown,New Plymouth,4310,,-36.8872079,174.8004688,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30061
62,Henry Rongomau Bennett Centre,183 Pembroke Street,Waikato Hospital,Hamilton,3204,,-36.8739505,174.7701466,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30062
63,Matariki Hospital,389 Kihikihi Road,,Te Awamutu,3800,,-38.6648086,178.0181538,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30063
64,Puna Whiti,183 Pembroke Street,Waikato Hospital,Hamilton,3204,,-41.5346068,173.9458909,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30064
